finder_id,type
16125,ABW PFC
16126,ABW PFC
16127,ABW PFC
16128,ABW PFC
16129,ABW PFC
15993,Capitation
16155,Capitation
563,Fitternity
13133,Fitternity
9558,Fitternity
2409,Fitternity
14187,Fitternity
11190,Fitternity
13231,Fitternity
13147,Fitternity
14345,Fitternity
13781,Fitternity
14045,Fitternity
9414,Fitternity
6082,Fitternity
14093,Fitternity
15287,Fitternity
12829,Fitternity
14103,Fitternity
15216,Fitternity
12830,Fitternity
12866,Fitternity
14117,Fitternity
12851,Fitternity
14350,Fitternity
12901,Fitternity
6580,Capitation
6615,Capitation
14530,Fitternity
15787,ABW PFC
4647,Fitternity
11208,Fitternity
4391,Fitternity
14037,Fitternity
4645,Fitternity
7047,Fitternity
13664,Fitternity
12005,Fitternity
3205,Fitternity
3216,Fitternity
9072,Fitternity
11152,Fitternity
13665,Fitternity
13936,Fitternity
13688,Fitternity
11297,Fitternity
11870,Fitternity
10451,Fitternity
9958,Fitternity
12328,Fitternity
13921,Fitternity
13940,Fitternity
14571,Fitternity
14473,Fitternity
5609,Fitternity
5191,Fitternity
9240,Fitternity
11236,Fitternity
11186,Fitternity
16025,ABW PFC
15988,ABW PFC
15987,ABW PFC
,ABW PFC
15938,ABW PFC
,ABW PFC
,ABW PFC
,ABW PFC
1609,ABW PFC
15029,Fitternity
14789,ABW PFC
12865,Fitternity
16230,Fitternity
16262,ABW PFC
15146,Fitternity
16315,ABW PFC
10560,Fitternity
16095,Capitation
14451,Fitternity
1913,Fitternity
14535,Fitternity
15248,Fitternity
14275,Fitternity
16157,Fitternity
15788,Fitternity
1042,Fitternity
14625,Fitternity
13170,Fitternity
1801,Fitternity
14621,Fitternity
13926,Fitternity
12192,Fitternity
3220,Fitternity
12307,Fitternity
12001,Fitternity
9385,Fitternity
6195,Fitternity
4878,Fitternity
12061,Fitternity
6052,Fitternity
11548,Fitternity
11953,Fitternity
12885,Fitternity
14324,Fitternity
14207,Fitternity
10969,Fitternity
15087,Fitternity
13878,Fitternity
12824,Fitternity
,Capitation
16372,Capitation
9947,Fitternity
12877,Fitternity
14261,Fitternity
12823,Fitternity
12853,Fitternity
14121,Fitternity
15350,Fitternity
12833,Fitternity
14148,Fitternity
,Fitternity
,Fitternity
16380,Capitation
16447,ABW PFC
1263,Fitternity
13096,Fitternity
11034,Fitternity
,Capitation
13289,Capitation
14197,Capitation
16484,Capitation
9615,Capitation
9957,Capitation
9959,Capitation
10190,Capitation
10524,Capitation
10753,Capitation
10759,Capitation
10761,Capitation
10767,Capitation
10770,Capitation
10771,Capitation
11270,Capitation
11271,Capitation
14125,Capitation
14126,Capitation
14129,Capitation
15720,Capitation
16027,Capitation
16028,Capitation
16238,Capitation
16263,Capitation
16265,Capitation
16266,Capitation
16267,Capitation
16268,Capitation
16269,Capitation
16270,Capitation
16271,Capitation
16272,Capitation
16273,Capitation
16274,Capitation
16292,Capitation
16293,Capitation
16294,Capitation
16299,Capitation
16300,Capitation
16302,Capitation
16305,Capitation
16306,Capitation
16308,Capitation
16309,Capitation
16310,Capitation
16311,Capitation
16313,Capitation
16314,Capitation
16319,Capitation
16320,Capitation
16330,Capitation
16331,Capitation
16333,Capitation
16334,Capitation
16335,Capitation
16336,Capitation
16338,Capitation
16339,Capitation
16341,Capitation
16357,Capitation
16358,Capitation
16359,Capitation
16360,Capitation
16361,Capitation
16362,Capitation
16363,Capitation
16364,Capitation
16365,Capitation
16366,Capitation
16367,Capitation
16368,Capitation
16369,Capitation
16370,Capitation
16371,Capitation
15971,Fitternity
