Transaction ID,Order ID,Date,
FIT55959,55959,29/05/2017 16:22:25,
FIT55952,55952,29/05/2017 14:49:24,
FIT55948,55948,29/05/2017 14:40:59,
FIT55938,55938,29/05/2017 14:27:38,
FIT55941,55941,29/05/2017 14:05:19,
FIT55933,55933,29/05/2017 13:35:31,
1718052901,1718052901,29/05/2017 13:26:46,
MFIT55931-R1,55931,29/05/2017 13:26:09,
FIT55912,55912,29/05/2017 10:21:03,
FIT55905,55905,29/05/2017 09:34:26,
FIT55904,55904,29/05/2017 09:13:16,
FIT55900,55900,29/05/2017 07:54:50,
FIT55885,55885,28/05/2017 23:25:50,
FIT55753,55753,28/05/2017 23:10:18,
FIT55754,55754,28/05/2017 23:06:46,
MFIT55883,55883,28/05/2017 21:53:35,
MFIT55881,55881,28/05/2017 21:29:46,
MFIT55879,55879,28/05/2017 21:25:14,
MFIT55876,55876,28/05/2017 20:21:47,
FIT55870,55870,28/05/2017 19:20:28,
MFIT55868,55868,28/05/2017 19:01:00,
FIT55867,55867,28/05/2017 17:47:34,
MFIT55865,55865,28/05/2017 17:37:10,
FIT55862,55862,28/05/2017 16:26:02,
MFIT55857-R1,55857,28/05/2017 15:57:46,
FIT55681,55681,28/05/2017 15:25:47,
FIT55855,55855,28/05/2017 15:17:54,
MFIT55848,55848,28/05/2017 14:34:54,
FIT55840,55840,28/05/2017 13:41:07,
FIT55838,55838,28/05/2017 13:35:02,
MFIT55834,55834,28/05/2017 11:59:52,
MFIT55831,55831,28/05/2017 11:29:09,
FIT55815,55815,28/05/2017 00:10:20,
FIT55810,55810,27/05/2017 20:34:09,
FIT55809,55809,27/05/2017 20:25:18,
FIT55804,55804,27/05/2017 20:02:12,
MFIT55803,55803,27/05/2017 19:55:54,
MFIT55799,55799,27/05/2017 19:25:54,
FIT55792,55792,27/05/2017 18:05:59,
FIT55788,55788,27/05/2017 17:15:19,
MFIT55784-R1,55784,27/05/2017 17:07:51,
MFIT55768-R1,55768,27/05/2017 15:29:44,
FIT55767,55767,27/05/2017 15:17:10,
MFIT55766,55766,27/05/2017 15:07:37,
MFIT55763-R1,55763,27/05/2017 14:40:30,
FIT55700,55700,27/05/2017 14:21:02,
MFIT55757,55757,27/05/2017 14:16:52,
FIT55755,55755,27/05/2017 14:09:48,
MFIT55751,55751,27/05/2017 14:02:19,
Fit55611,55611,27/05/2017 13:39:14,
FIT55738,55738,27/05/2017 12:51:13,
FIT55737,55737,27/05/2017 12:45:56,
MFIT55732-R1,55732,27/05/2017 12:45:47,
MFIT55727,55727,27/05/2017 11:26:52,
FIT55726,55726,27/05/2017 11:13:05,
FIT55721,55721,27/05/2017 09:55:55,
FIT55588,55588,27/05/2017 07:32:20,
MFIT55718,55718,27/05/2017 07:23:43,
MFIT55707,55707,26/05/2017 21:25:32,
MFIT55699,55699,26/05/2017 18:48:54,
FIT55692,55692,26/05/2017 18:19:40,
FIT55686,55686,26/05/2017 17:21:48,
FIT55678,55678,26/05/2017 16:48:03,
FIT55674,55674,26/05/2017 16:41:41,
MFIT55670,55670,26/05/2017 15:42:46,
FIT55665,55665,26/05/2017 14:48:34,
FIT55259,55259,26/05/2017 14:15:00,
FIT54928,54928,26/05/2017 13:40:03,
FIT55660,55660,26/05/2017 12:40:18,
FIT55659,55659,26/05/2017 12:39:23,
FIT55651,55651,26/05/2017 10:42:49,
FIT55648,55648,26/05/2017 10:12:13,
MFIT55642,55642,26/05/2017 08:52:58,
FIT55638,55638,26/05/2017 06:45:18,
FIT55476,55476,25/05/2017 23:32:03,
FIT55629,55629,25/05/2017 22:24:14,
FIT55623,55623,25/05/2017 20:48:49,
FIT55614,55614,25/05/2017 19:43:53,
MFIT55613,55613,25/05/2017 19:41:22,
FIT55601,55601,25/05/2017 17:27:20,
MFIT55598-R1,55598,25/05/2017 17:12:46,
FIT55593,55593,25/05/2017 16:45:33,
FIT55585,55585,25/05/2017 15:40:29,
FIT55584,55584,25/05/2017 15:06:14,
FIT55570,55570,25/05/2017 12:38:04,
FIT55559,55559,25/05/2017 11:29:29,
FIT55558,55558,25/05/2017 11:19:10,
FIT55557,55557,25/05/2017 10:23:32,
FIT55555,55555,25/05/2017 09:53:28,
FIT55542,55542,25/05/2017 01:07:26,
FIT55532,55532,24/05/2017 23:13:48,
MFIT55536,55536,24/05/2017 22:45:22,
MFIT55531,55531,24/05/2017 22:05:56,
FIT55456,55456,24/05/2017 21:44:52,
MFIT55524-R1,55524,24/05/2017 20:20:12,
MFIT55513,55513,24/05/2017 19:09:31,
FIT55507,55507,24/05/2017 18:11:46,
MFIT55497,55497,24/05/2017 17:56:05,
FIT55505,55505,24/05/2017 17:53:50,
MFIT55504,55504,24/05/2017 17:49:16,
FIT55376,55376,24/05/2017 17:47:03,
FIT55502,55502,24/05/2017 17:40:52,
FIT55493,55493,24/05/2017 16:41:52,
FIT55492,55492,24/05/2017 16:34:08,
FIT55482,55482,24/05/2017 15:28:55,
FIT55471,55471,24/05/2017 13:45:01,
FIT55463,55463,24/05/2017 12:40:26,
FIT55455,55455,24/05/2017 12:13:14,
MFIT55449,55449,24/05/2017 11:05:07,
FIT55405,55405,24/05/2017 05:20:15,
FIT55443,55443,24/05/2017 05:13:21,
MFIT55430,55430,23/05/2017 20:59:17,
Fit52646,52646,23/05/2017 19:56:53,
FIT55419,55419,23/05/2017 19:32:26,
MFIT55417,55417,23/05/2017 19:25:57,
FIT55412,55412,23/05/2017 18:56:23,
FIT55401,55401,23/05/2017 18:03:12,
MFIT55399,55399,23/05/2017 17:47:54,
MFIT55397,55397,23/05/2017 17:44:27,
FIT55398,55398,23/05/2017 17:43:53,
MFIT55381,55381,23/05/2017 16:16:06,
FIT55359,55359,23/05/2017 14:45:46,
FIT55358,55358,23/05/2017 14:02:28,
FIT55356,55356,23/05/2017 14:00:22,
FIT55344,55344,23/05/2017 12:56:17,
FIT55340,55340,23/05/2017 12:01:18,
FIT55333,55333,23/05/2017 10:21:22,
FIT55332,55332,23/05/2017 10:19:10,
MFIT55331,55331,23/05/2017 10:06:15,
FIT55323,55323,23/05/2017 00:20:46,
MFIT55319,55319,22/05/2017 22:01:49,
FIT55318,55318,22/05/2017 21:57:43,
FIT55315,55315,22/05/2017 21:23:09,
FIT55292,55292,22/05/2017 19:03:43,
FIT55289,55289,22/05/2017 18:32:18,
FIT55287,55287,22/05/2017 18:18:14,
FIT55281,55281,22/05/2017 17:33:01,
FIT55280,55280,22/05/2017 17:25:36,
FIT55272,55272,22/05/2017 16:19:21,
FIT54509,54509,22/05/2017 15:03:32,
FIT55258,55258,22/05/2017 15:01:36,
FIT54508,54508,22/05/2017 14:52:43,
FIT55251,55251,22/05/2017 14:15:11,
FIT55252,55252,22/05/2017 14:03:33,
MFIT55241,55241,22/05/2017 12:50:28,
FIT55231,55231,22/05/2017 12:14:30,
MFIT55230,55230,22/05/2017 12:08:53,
FIT55226,55226,22/05/2017 11:27:12,
FIT55215,55215,21/05/2017 22:54:01,
FIT55213,55213,21/05/2017 22:48:15,
FIT55210,55210,21/05/2017 22:39:40,
FIT55211,55211,21/05/2017 22:17:40,
FIT55205,55205,21/05/2017 19:39:55,
FIT55202,55202,21/05/2017 16:08:10,
FIT55199,55199,21/05/2017 15:07:24,
FIT55196,55196,21/05/2017 14:42:35,
FIT55194,55194,21/05/2017 14:38:59,
FIT55192,55192,21/05/2017 14:22:22,
FIT55191,55191,21/05/2017 14:13:52,
MFIT55186,55186,21/05/2017 12:47:18,
FIT55185,55185,21/05/2017 12:35:08,
MFIT55170,55170,20/05/2017 23:49:55,
FIT55155,55155,20/05/2017 23:24:24,
FIT55163,55163,20/05/2017 21:33:56,
